t,msg_type,relay_available
0,coop,0
1.21212293439804,coop,0
2.42424297887395,coop,0
3.63636302334985,coop,0
4.84848595774789,coop,0
6.0606060022238,coop,0
7.27272893662184,coop,0
8.48484898109774,coop,0
9.69696902557364,coop,0
10.9090919599717,coop,0
12.1212120044476,coop,0
13.3333349388456,coop,0
14.5454549833215,coop,0
15.7575750277974,coop,0
16.9696979621955,coop,0
18.1818180066714,coop,0
19.3939409410694,coop,0
20.6060609855453,coop,0
21.8181810300212,coop,0
23.0303039644193,coop,0
24.2424240088952,coop,0
25.4545469432932,coop,0
26.6666669877691,coop,1
27.878787032245,coop,1
29.0909099666431,coop,1
30.303030011119,coop,1
31.515152945517,coop,1
32.7272729899929,coop,1
33.9393930344688,coop,1
35.1515159688669,coop,1
36.3636360133428,coop,1
37.5757589477408,coop,1
38.7878789922167,coop,1
39.9999990366926,coop,1
41.2121219710907,coop,1
42.4242420155666,coop,1
43.6363649499646,coop,1
44.8484849944405,coop,1
46.0606050389164,coop,1
47.2727279733145,coop,1
48.4848480177904,coop,1
49.6969709521884,coop,1
50.9090909966643,coop,1
52.1212110411402,coop,1
53.3333339755383,coop,1
54.5454540200142,coop,1
55.7575769544122,coop,1
56.9696969988881,coop,1
58.181817043364,coop,0
59.3939399777621,emergency,0
60.6060600222379,coop,0
61.818182956636,coop,0
63.0303030011119,emergency,0
64.2424230455878,coop,0
65.4545459799858,emergency,0
66.6666660244617,emergency,1
67.8787889588598,emergency,1
69.0909090033357,emergency,1
70.3030290478116,emergency,1
71.5151519822096,emergency,1
72.7272720266855,emergency,1
73.9393949610836,emergency,1
75.1515150055595,emergency,1
76.3636350500354,emergency,1
77.5757579844334,emergency,1
78.7878780289093,emergency,1
80.0000009633074,emergency,1
81.2121210077833,emergency,1
82.4242410522592,emergency,1
83.6363639866572,emergency,1
84.8484840311331,emergency,1
86.0606069655312,emergency,1
87.2727270100071,emergency,1
88.484847054483,emergency,1
89.696969988881,emergency,1
90.9090900333569,emergency,1
92.121212967755,emergency,1
93.3333330122309,emergency,1
94.5454530567068,emergency,1
95.7575759911048,emergency,1
96.9696960355807,emergency,1
98.1818189699788,emergency,1
99.3939390144547,emergency,1
100.606059058931,emergency,1
101.818181993329,emergency,1
103.030302037805,emergency,1
104.242424972203,emergency,1
105.454545016678,emergency,1
106.666665061154,emergency,1
107.878787995552,emergency,1
109.090908040028,emergency,1
110.303030974426,emergency,1
111.515151018902,emergency,1
112.727271063378,emergency,1
113.939393997776,emergency,1
115.151514042252,emergency,1
116.36363697665,emergency,1
117.575757021126,emergency,1
118.787877065602,emergency,1
120,emergency,1
