t,msg_type,relay_available
0,coop,1
1.21212293439804,coop,1
2.42424297887395,coop,1
3.63636302334985,normal,1
4.84848595774789,normal,1
6.0606060022238,coop,1
7.27272893662184,normal,1
8.48484898109774,normal,1
9.69696902557364,coop,1
10.9090919599717,coop,1
12.1212120044476,normal,1
13.3333349388456,normal,1
14.5454549833215,coop,1
15.7575750277974,coop,1
16.9696979621955,normal,1
18.1818180066714,coop,1
19.3939409410694,coop,1
20.6060609855453,normal,1
21.8181810300212,emergency,1
23.0303039644193,normal,1
24.2424240088952,coop,1
25.4545469432932,coop,1
26.6666669877691,emergency,1
27.878787032245,coop,1
29.0909099666431,coop,1
30.303030011119,emergency,1
31.515152945517,normal,1
32.7272729899929,coop,1
33.9393930344688,emergency,1
35.1515159688669,coop,1
36.3636360133428,normal,1
37.5757589477408,coop,1
38.7878789922167,emergency,1
39.9999990366926,coop,1
41.2121219710907,coop,1
42.4242420155666,coop,1
43.6363649499646,coop,1
44.8484849944405,coop,1
46.0606050389164,coop,1
47.2727279733145,coop,1
48.4848480177904,coop,1
49.6969709521884,coop,1
50.9090909966643,coop,1
52.1212110411402,coop,1
53.3333339755383,coop,1
54.5454540200142,coop,1
55.7575769544122,coop,1
56.9696969988881,emergency,1
58.181817043364,coop,1
59.3939399777621,coop,1
60.6060600222379,coop,1
61.818182956636,coop,1
63.0303030011119,coop,1
64.2424230455878,coop,1
65.4545459799858,coop,1
66.6666660244617,coop,1
67.8787889588598,coop,1
69.0909090033357,coop,1
70.3030290478116,coop,1
71.5151519822096,coop,1
72.7272720266855,coop,1
73.9393949610836,coop,1
75.1515150055595,coop,1
76.3636350500354,coop,1
77.5757579844334,coop,1
78.7878780289093,coop,1
80.0000009633074,coop,1
81.2121210077833,coop,1
82.4242410522592,coop,1
83.6363639866572,coop,1
84.8484840311331,coop,1
86.0606069655312,coop,1
87.2727270100071,coop,1
88.484847054483,coop,1
89.696969988881,coop,1
90.9090900333569,coop,1
92.121212967755,coop,1
93.3333330122309,coop,1
94.5454530567068,coop,1
95.7575759911048,coop,1
96.9696960355807,coop,1
98.1818189699788,coop,1
99.3939390144547,coop,1
100.606059058931,coop,1
101.818181993329,coop,1
103.030302037805,coop,1
104.242424972203,coop,1
105.454545016678,coop,1
106.666665061154,coop,1
107.878787995552,coop,1
109.090908040028,coop,1
110.303030974426,coop,1
111.515151018902,coop,1
112.727271063378,coop,1
113.939393997776,coop,1
115.151514042252,coop,1
116.36363697665,coop,1
117.575757021126,coop,1
118.787877065602,coop,1
120,coop,1
