t,msg_type,relay_available
0,emergency,0
1.21212293439804,emergency,0
2.42424297887395,normal,0
3.63636302334985,normal,0
4.84848595774789,normal,0
6.0606060022238,normal,0
7.27272893662184,normal,0
8.48484898109774,normal,0
9.69696902557364,normal,0
10.9090919599717,normal,0
12.1212120044476,coop,0
13.3333349388456,normal,0
14.5454549833215,coop,0
15.7575750277974,normal,0
16.9696979621955,normal,0
18.1818180066714,coop,0
19.3939409410694,coop,0
20.6060609855453,normal,0
21.8181810300212,coop,0
23.0303039644193,coop,0
24.2424240088952,normal,0
25.4545469432932,normal,0
26.6666669877691,coop,0
27.878787032245,normal,0
29.0909099666431,coop,0
30.303030011119,coop,0
31.515152945517,normal,0
32.7272729899929,normal,0
33.9393930344688,coop,0
35.1515159688669,normal,0
36.3636360133428,normal,0
37.5757589477408,emergency,0
38.7878789922167,normal,0
39.9999990366926,coop,0
41.2121219710907,normal,0
42.4242420155666,normal,0
43.6363649499646,normal,0
44.8484849944405,normal,0
46.0606050389164,normal,0
47.2727279733145,normal,0
48.4848480177904,coop,0
49.6969709521884,normal,0
50.9090909966643,normal,0
52.1212110411402,coop,0
53.3333339755383,normal,0
54.5454540200142,normal,0
55.7575769544122,coop,0
56.9696969988881,coop,0
58.181817043364,coop,0
59.3939399777621,coop,0
60.6060600222379,coop,0
61.818182956636,coop,0
63.0303030011119,coop,0
64.2424230455878,coop,0
65.4545459799858,coop,0
66.6666660244617,coop,0
67.8787889588598,coop,0
69.0909090033357,coop,0
70.3030290478116,coop,0
71.5151519822096,coop,0
72.7272720266855,coop,0
73.9393949610836,coop,0
75.1515150055595,coop,0
76.3636350500354,coop,0
77.5757579844334,coop,0
78.7878780289093,coop,0
80.0000009633074,coop,0
81.2121210077833,coop,0
82.4242410522592,coop,0
83.6363639866572,coop,0
84.8484840311331,coop,0
86.0606069655312,coop,0
87.2727270100071,coop,1
88.484847054483,coop,1
89.696969988881,coop,1
90.9090900333569,coop,1
92.121212967755,coop,1
93.3333330122309,coop,1
94.5454530567068,coop,1
95.7575759911048,coop,1
96.9696960355807,coop,1
98.1818189699788,coop,1
99.3939390144547,coop,1
100.606059058931,coop,1
101.818181993329,coop,1
103.030302037805,coop,1
104.242424972203,coop,1
105.454545016678,coop,1
106.666665061154,coop,1
107.878787995552,coop,1
109.090908040028,coop,1
110.303030974426,coop,1
111.515151018902,coop,1
112.727271063378,coop,1
113.939393997776,coop,1
115.151514042252,coop,1
116.36363697665,coop,1
117.575757021126,coop,1
118.787877065602,coop,0
120,emergency,0
