ComboID,EnterBlindThr,EnterQPosThr,HoldBlindThr,HoldQPosThr,OverallTimelyGain,OverallLossReduction,OverallCostDelta,PosDegTimelyGain,PosDegLossReduction,CompositeScore
1,0.14,0.68,0.3,0.48,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
2,0.14,0.68,0.3,0.52,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
3,0.14,0.68,0.3,0.58,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
4,0.14,0.68,0.36,0.48,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
5,0.14,0.68,0.36,0.52,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
6,0.14,0.68,0.36,0.58,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
7,0.14,0.68,0.42,0.48,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
8,0.14,0.68,0.42,0.52,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
9,0.14,0.68,0.42,0.58,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
10,0.14,0.72,0.3,0.48,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
11,0.14,0.72,0.3,0.52,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
12,0.14,0.72,0.3,0.58,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
13,0.14,0.72,0.36,0.48,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
14,0.14,0.72,0.36,0.52,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
15,0.14,0.72,0.36,0.58,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
16,0.14,0.72,0.42,0.48,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
17,0.14,0.72,0.42,0.52,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
18,0.14,0.72,0.42,0.58,0.0305047143649473,0.0305047143649473,0.207029950083192,0.00454545454545454,0.00454545454545454,0.0562155246306664
