Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,BaseTimely,ConfTimely,OracleTimely,FullDeltaTimely_pp,BaseEmgTimely,ConfEmgTimely,OracleEmgTimely,FullDeltaEmg_pp,BaseTxCost,ConfTxCost,DeltaTxCost,DeltaTxCostPct,FullDeltaDelay_s,PosDegDeltaTimely_pp,PosDegDeltaEmg_pp,PosDegDeltaDelay_s,PosDegBaseTimely,PosDegOracleTimely,PosDegOracleHeadroom_pp,PosDegStageShare,EmergencyFeasibilityGap,CostNormalizedGain,JointActivationProxy,PeakGainStage,PeakGainDelta_pp,FeasibilityBand,ApplicabilityClass,PaperUse,Interpretation
10014,Primary,CurvedBlind,Medium,Dense,Default,0.968485856905158,0.971247920133111,0.993677204658902,0.276206322795336,1,1,1,0,1.62945091514143,1.86512978369384,0.235678868552413,14.4636985601961,-0.00042842286705233,0.945454545454538,0,0.00010945645251702,0.988727272727273,0.998181818181818,0.945454545454538,0.166666666666667,0,0.0117196049222326,0.0945454545454538,PosDeg_Emerg,0.945454545454538,FeasibleEmergency,CostlyLowGain,BoundaryOnly,"The trigger condition exists but the global timely gain is below 1 pp while cost increases; use only for cost-boundary discussion."
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,0.742229617304492,0.774742096505824,0.80063227953411,3.25124792013313,0.0266666666666667,0.02,0.02,-0.666666666666668,1.69833610648918,2.19077903494177,0.492442928452586,28.9956108552959,-0.0123577680626577,1.96363636363635,-0.666666666666668,0.000681359299643854,0.811272727272727,0.832727272727272,2.14545454545453,0.166666666666667,-0.0066666666666667,0.0660228370087402,0.205454545454544,Recovery,10.9801324503311,NearImpossibleEmergency,NearImpossible,StressBoundary,"Emergency delivery is bounded by the physical/channel configuration; use this row as feasibility-boundary evidence, not as a scheduler superiority claim. The negative emergency delta is not a valid method-failure claim because the constrained-oracle upper bound is also near zero."
10006,Reference,Mixed,Medium,Mixed,Default,0.944492512479201,0.980965058236273,0.988652246256239,3.64725457570716,0.997434210526316,0.999407894736842,0.997434210526316,0.197368421052646,2.14675540765392,2.47457237936772,0.327816971713797,15.2703456828392,-0.0116813082666782,0,0,-2.316401674262e-06,1,1,0,0.166666666666667,0,0.111258869747947,0,Normal,17.344,FeasibleEmergency,ActiveGain,PrimaryEvidence,"The method provides a material timely-rate gain and can be used as a primary performance-claim scene."
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,0.691580698835275,0.706955074875208,0.715108153078203,1.53743760399335,0.800657894736842,0.801052631578947,0.800460526315789,0.0394736842105226,2.26455906821964,2.69581896838602,0.43125990016638,19.0438795003669,-0.0033226118422683,0.090909090909097,0.090909090909097,0.000253291203312194,0.893454545454545,0.894181818181818,0.0727272727272799,0.166666666666667,-0.000197368421053001,0.0356499086374635,0.00818181818181885,Coop_1,4.59999999999996,FeasibleEmergency,ModerateGain,SupportingEvidence,"The method provides a moderate gain and should support the main claim without being overstated."
10011,Boundary,Open,Low,Sparse,Default,0.997271214642263,0.997371048252912,0.997404326123128,0.00998336106488029,1,1,1,0,1.71880199667221,1.95315640599002,0.234354409317806,13.6347531461763,-1.5760054905516e-05,0.0545454545454627,NaN,7.86802051669006e-06,0.999454545454545,1,0.0545454545454627,0.166666666666667,0,0.000425994163880398,0.00545454545454627,PosDeg_Emerg,0.0545454545454627,FeasibleEmergency,CeilingBoundary,BoundaryOnly,"The link-delay-aware baseline is already near saturation; the method has little room to improve and should be discussed as graceful degradation."
10011,Boundary,Open,Low,Sparse,ForestGeometry,0.590316139767055,0.678535773710483,0.700432612312812,8.82196339434276,0.3,0.287,0.305,-1.3,2.72888519134775,3.40846755407654,0.679582362728787,24.9032962208701,-0.0176127418041779,21.0909090909091,NaN,0.00345685464791787,0.765636363636363,0.986181818181818,22.0545454545455,0.166666666666667,0.005,0.129814484280009,1,LinkDeg_Emerg,28.3692307692307,MarginalEmergency,ActiveGain,PrimaryEvidence,"The method provides a material timely-rate gain and can be used as a primary performance-claim scene. Emergency-timely direction is negative and must be reported as a limitation."
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,0.999833610648919,0.999833610648919,0.999833610648919,0,1,1,1,0,2.49966722129784,2.98048585690515,0.480818635607313,19.235305864341,0,0,0,0,1,1,0,0.166666666666667,0,0,0,Normal,0,FeasibleEmergency,CeilingBoundary,BoundaryOnly,"The link-delay-aware baseline is already near saturation; the method has little room to improve and should be discussed as graceful degradation."
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,0.667054908485857,0.669151414309484,0.666955074875208,0.209650582362708,0.633699633699634,0.636007326007326,0.633589743589744,0.230769230769245,2.95835274542429,3.33238835274543,0.374035607321135,12.6433741851664,0.00018420797058922,0.981818181818184,0.981818181818184,0.00183584124425152,0.622545454545455,0.630909090909091,0.836363636363635,0.166666666666667,-0.000109890109890043,0.00560509690144807,0.0909090909090909,PosDeg_Emerg,0.981818181818184,FeasibleEmergency,UniformHardBoundary,BoundaryOnly,"The scene is uniformly hard and the constrained oracle offers limited headroom; localized confidence triggering cannot create large global gains."
10017,LongRange,LongMixed,Medium,Mixed,Default,0.907054908485857,0.955840266222962,0.978236272878536,4.8785357737105,0.986111111111111,0.998888888888889,0.986111111111111,1.27777777777778,1.92312811980033,2.36796006655574,0.444831946755409,23.1306454403877,-0.0118626065304109,0.0545454545454627,NaN,7.86802051669006e-06,0.999454545454545,1,0.0545454545454627,0.166666666666667,0,0.109671434556227,0.00545454545454627,Normal,22.272,FeasibleEmergency,ActiveGain,PrimaryEvidence,"The method provides a material timely-rate gain and can be used as a primary performance-claim scene."
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,0.521098169717138,0.524226289517471,0.53783693843594,0.31281198003329,0.02,0.02,0.0155555555555556,0,2.17920133111481,2.6790149750416,0.499813643926785,22.9356341146825,-0.000459605613513598,0.090909090909097,NaN,1.42356062091961e-05,0.998909090909091,0.999818181818182,0.090909090909097,0.166666666666667,-0.0044444444444444,0.00625857224656156,0.0090909090909097,LinkDeg_Emerg,0.800000000000001,NearImpossibleEmergency,NearImpossible,StressBoundary,"Emergency delivery is bounded by the physical/channel configuration; use this row as feasibility-boundary evidence, not as a scheduler superiority claim."
