Parameter,Value,DefaultValue,AvgDelay_s,TimelyRate,LossRate,AvgTxCost,EmergencyTimelyRate,PosDegAvgDelay_s,PosDegTimelyRate,PosDegLossRate,PosDegAvgTxCost,PosDegEmergencyTimelyRate
event_rate_scale_gain,0.1,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_rate_scale_gain,0.16,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_rate_scale_gain,0.22,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_rate_scale_gain,0.3,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_rate_scale_gain,0.4,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_synergy_gain,0.15,0.45,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_synergy_gain,0.3,0.45,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_synergy_gain,0.45,0.45,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_synergy_gain,0.6,0.45,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
event_synergy_gain,0.75,0.45,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_constraint_penalty,0.8,1.6,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_constraint_penalty,1.2,1.6,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_constraint_penalty,1.6,1.6,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_constraint_penalty,2,1.6,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_constraint_penalty,2.4,1.6,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_margin_sigmoid_scale,0.03,0.06,0.209167027009284,0.909090909090909,0.00826446280991733,7.12132231404959,0.75,0.280525834249709,0.590909090909091,0,18.8818181818182,0.590909090909091
utility_margin_sigmoid_scale,0.045,0.06,0.206396877081908,0.917355371900826,0.00826446280991733,7.37768595041322,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_margin_sigmoid_scale,0.06,0.06,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_margin_sigmoid_scale,0.08,0.06,0.206214123081892,0.917355371900826,0.00826446280991733,7.50247933884298,0.775,0.262699282294576,0.636363636363636,0,20.0636363636364,0.636363636363636
utility_margin_sigmoid_scale,0.1,0.06,0.204266235407009,0.917355371900826,0.00826446280991733,7.6704132231405,0.775,0.259856107343029,0.636363636363636,0,20.2272727272727,0.636363636363636
utility_weight_cost,0.03,0.07,0.204569016030154,0.917355371900826,0.00826446280991733,7.5996694214876,0.775,0.259856107343029,0.636363636363636,0,20.2272727272727,0.636363636363636
utility_weight_cost,0.05,0.07,0.206477623663227,0.917355371900826,0.00826446280991733,7.48330578512397,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_cost,0.07,0.07,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_cost,0.1,0.07,0.206979004004918,0.917355371900826,0.00826446280991733,7.34396694214876,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_cost,0.14,0.07,0.208263910802856,0.917355371900826,0.00826446280991733,7.20082644628099,0.775,0.272775804214639,0.636363636363636,0,19.3181818181818,0.636363636363636
utility_weight_event,0.08,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_event,0.15,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_event,0.22,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_event,0.3,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_event,0.38,0.22,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_position_risk,0.12,0.28,0.206797592881648,0.917355371900826,0.00826446280991733,7.40925619834711,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_position_risk,0.2,0.28,0.206797592881648,0.917355371900826,0.00826446280991733,7.40925619834711,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_position_risk,0.28,0.28,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_position_risk,0.36,0.28,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_position_risk,0.44,0.28,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_reliability,0.35,0.55,0.206797592881648,0.917355371900826,0.00826446280991733,7.40925619834711,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_reliability,0.45,0.55,0.206797592881648,0.917355371900826,0.00826446280991733,7.40925619834711,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_reliability,0.55,0.55,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_reliability,0.7,0.55,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_reliability,0.85,0.55,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_timely,0.7,1,0.206797592881648,0.917355371900826,0.00826446280991733,7.40925619834711,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_timely,0.85,1,0.206797592881648,0.917355371900826,0.00826446280991733,7.40925619834711,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_timely,1,1,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_timely,1.15,1,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
utility_weight_timely,1.3,1,0.20653354869566,0.917355371900826,0.00826446280991733,7.4198347107438,0.775,0.26554328928478,0.636363636363636,0,19.9,0.636363636363636
